ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source,our_measures,category,affected_pcodes,end_date,add_npi_id,remove_npi_id
787,Somalia,SOM,,,Africa,add,Movement restrictions,International flights suspension,No,Suspension of all flights to and from 5 countries as of 18 March including Turkey,Not applicable,2020-03-18,Somali Nationals News Agency,Media,https://sonna.so/en/somalia-suspends-flights-to-and-from-5-countries/,2020-03-17,,closing borders,mobility-based,,,,
1749,Somalia,SOM,,,Africa,add,Movement restrictions,Visa restrictions,No,"All passengers originating from China, Iran, South Korea, and Italy or transiting through one of those countries for the last 14 days will not be allowed to enter the country.",Not applicable,2020-03-15,AA,Media,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/covid-19-somalia-bans-entry-from-worst-hit-countries/1766837,2020-03-23,,closing borders,mobility-based,,,,
1751,Somalia,SOM,,,Africa,add,Movement restrictions,International flights suspension,No,Somalia temporarily lifts ban on international flights (for 48 hours) to allow stranded Somalis back into the country.,Not applicable,2020-03-21,The Brief,Media,https://www.thebrief.co.ke/foreign/somalia-temporarily-lifts-international-flights-ban-for-two-days/,2020-03-23,,closing borders,mobility-based,,,,
1752,Somalia,SOM,,,Africa,add,Movement restrictions,International flights suspension,No,Somalia bans all internatinal flights.,Not applicable,2020-03-19,The Brief,Media,https://www.thebrief.co.ke/foreign/somalia-temporarily-lifts-international-flights-ban-for-two-days/,2020-03-23,,closing borders,mobility-based,,,,
1753,Somalia,SOM,,,Africa,add,Public health measures,Isolation and quarantine policies,No,"Those arriving in Somalia, who travelled through affected countries, will be quarantined for and will undergo mandatory two weeks coronavirus screening to stem the spread of the coronavirus.",Not applicable,2020-03-19,Mustaqbal Radio,Media,https://www.mustaqbalradio.net/somalia-to-quarantine-passengers-from-14-destinations-after-lift-ban-on-flights/,2020-03-23,,social distancing,reproduction number-based,,,,
2921,Somalia,SOM,,,Africa,add,Movement restrictions,Domestic travel restrictions,No,Somalia bans all domestic flights until further notice.,Not applicable,2020-03-29,Ministry of Health,Social media,https://twitter.com/MoH_Somalia/status/1243889491925970945,2020-03-28,,restricting inter-regional movement,mobility-based,,,,
2922,Somalia,SOM,,,Africa,add,Movement restrictions,International flights suspension,No,Somalia extends ban on international flights until further notice.,Not applicable,2020-03-28,Ministry of Health,Social media,https://twitter.com/MoH_Somalia/status/1243889491925970945,2020-03-28,,closing borders,mobility-based,,,,
3133,Somalia,SOM,,,Africa,add,Social distancing,Schools closure ,No,Somalia has ordered the closure of all religious schools and madrasasa. ,,2020-03-31,BBC,Media,https://www.bbc.com/news/live/world-africa-47639452,2020-03-31,,school closure,contact-based,,,,
5412,Somalia,SOM,Mogadishu,,Africa,add,Movement restrictions,Curfews,No,"Government of Somalia imposes night curfew in Moghadishu starting at 8pm April 15, from 8:00pm and 5:00am local time. No date has been set for lifting the curfew. It will not affect shops that are selling dry foods, hospitals and pharmacies, officials say. ",Not available,2020-04-15,VOA,Media,https://www.voanews.com/science-health/coronavirus-outbreak/somalia-imposes-nighttime-curfew,2020-04-15,,social distancing,reproduction number-based,,,,
6614,Somalia,SOM,,,Africa,add,Movement restrictions,International flights suspension,No,"Suspension on international flights, initially for a period of 15 days, was extended for an additional 30 days, with humanitarian and cargo exceptions. ",Not applicable,2020-04-06,US Embassy,Government,https://so.usembassy.gov/covid-19-information/,2020-04-21,,closing borders,mobility-based,,,,
10523,Somalia,SOM,,,Africa,add,Movement restrictions,Border closure ,Yes,"Authorities ordered the closure of land borders with Kenya and Ethiopia to limit the spread of coronavirus disease (COVID-19). As such, crossings into Kenya near the towns of El Wak and Bula Hawo, as well as the crossing into Ethiopia at Doolow, have been shuttered. It was not immediately announced how long the closures would remain in effect.",Not available,2020-04-09,Garda,Media,https://www.garda.com/crisis24/news-alerts/331976/somalia-authorities-to-impose-nightly-curfew-in-mogadishu-from-april-15-due-to-covid-19-update-3,2020-05-14,,closing borders,mobility-based,,,,
11678,Somalia,SOM,,,Africa,add,Governance and socio-economic measures,Limit product imports/exports,Yes,There has been a ban on the importat of Khat into Somaliland. ,Not available,2020-04-23,Relief Web,Other organisations,https://reliefweb.int/report/somalia/ocha-somalia-update-4-overview-covid-19-directives-16-may-2020,2020-05-23,,closing borders,mobility-based,,,,
11679,Somalia,SOM,,,Africa,remove,Governance and socio-economic measures,Limit product imports/exports,Yes,The directive suspending import of Khat into Somaliland was revoked. ,Not applicable,2020-05-16,Relief Web,Other organisations,https://reliefweb.int/report/somalia/ocha-somalia-update-4-overview-covid-19-directives-16-may-2020,2020-05-23,,closing borders,mobility-based,,,,
11680,Somalia,SOM,,,Africa,remove,Social distancing,Closure of businesses and public services,Yes,Domestic airports in Belet Weyne and Jowhar have been temporarily opened to enable airlifting of emergency supplies and deploy personnel for the flash flood response in the area.,Not applicable,2020-05-05,OCHA,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/FGS%20FMS%20directives_Update%204_Draft%2015%20May%202020%20final.pdf,2020-05-23,,closing businesses,reproduction number-based,,,,
